###,Temple,Dedicated,Square-feet,Height (feet),Rededicated?,Num_Spires,Spire_Attached,Angel_Moroni,Instruction_Rooms,Sealing_Rooms,Baptismal_Fonts,Square_Footage,Acreage
065,regina saskatchewan temple,14 Nov 1999,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1
067,edmonton alberta temple,11 Dec 1999,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1
069,st paul minnesota temple,09 Jan 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",7.5
070,kona hawaii temple,23 Jan 2000,"10,700",71,,1,Attached,No,2,2,1,"12,325",7.02
071,ciudad juarez mexico temple,26 Feb 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.64
072,hermosillo sonora mexico temple,27 Feb 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,769",1.54
074,oaxaca mexico temple,11 Mar 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.87
075,tuxtla gutierrez mexico temple,12 Mar 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.56
076,louisville kentucky temple,19 Mar 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",3
077,palmyra new york temple,06 Apr 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,900",5
078,fresno california temple,09 Apr 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,850",2.34
079,medford oregon temple,16 Apr 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2
081,reno nevada temple,23 Apr 2000,"10,700",71 ,,1,Attached,Yes,2,2,1,"10,700",7.9
083,tampico mexico temple,20 May 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2.96
084,nashville tennessee temple,21 May 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",6.86
085,villahermosa mexico temple,21 May 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.36
087,san jose costa rica temple,04 Jun 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.93
088,fukuoka japan temple,11 Jun 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.25
089,adelaide australia temple,15 Jun 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",6.94
090,melbourne australia temple,16 Jun 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",5.98
092,merida mexico temple,08 Jul 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.53
093,veracruz mexico temple,09 Jul 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",3.39
098,birmingham alabama temple,03 Sep 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",5.6
102,porto alegre brazil temple,17 Dec 2000,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2
103,montevideo uruguay temple,18 Mar 2001,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.59
105,guadalajara mexico temple,29 Apr 2001,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2.69
106,perth australia temple,20 May 2001,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2.76
115,brisbane australia temple,15 Jun 2003,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",0.86
165,port-au-prince haiti temple,01 Sep 2019,"10,396",85,,1,Attached,No,1,1,1,"10,396",1.77
031,taipei taiwan temple,17 Nov 1984,"9,945",126,,6,Detached,Yes,4,3,1,"9,945",0.5
178,helena montana temple,18 Jun 2023,"9,797",97,,1,Attached,No,1,1,1,"9,794",4.75
038,lima peru temple,10 Jan 1986,"9,600",112,,6,Detached,Yes,4,3,1,"9,600",4.5
193,coban guatemala temple,09 Jun 2024,"8,772",80,,1,Attached,No,1,1,1,"8,800",5.4
173,praia cape verde temple,19 Jun 2022,"8,759",80,,1,Attached,No,1,1,1,"8,759",4.46
176,san juan puerto rico temple,15 Jan 2023,"6,988",74,,1,Attached,No,1,1,1,"6,988",2.97
172,yigo guam temple,22 May 2022,"6,861",74,,1,Attached,No,1,1,1,"6,861",5.8
055,colonia juarez chihuahua mexico temple,06 Mar 1999,"6,800",71,,1,Attached,Yes,1,1,1,"6,800",2.56
